car_model;price;year_model;kms;color;fueltype
Chevrolet Sail 1.4 Lt;$34.800.000;2018;92.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$27.500.000;2015;84.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$27.000.000;2016;57.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.800.000;2016;57.500;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2016;105.000;Color not found;Gasolina
Chevrolet Sail Ls;$30.000.000;2017;107.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$26.500.000;2013;135.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$37.000.000;2017;81.700;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$28.000.000;2013;95.006;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$27.000.000;2014;112.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$31.500.000;2017;90.000;Dorado;Gasolina
Chevrolet Sail 1.4 Ls;$33.000.000;2018;81.000;Negro;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$31.500.000;2016;67.080;Plateado;Gasolina
Chevrolet Sail 1.4l Mecánica;$30.000.000;2017;68.950;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$28.500.000;2016;130.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$34.400.000;2019;102.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$36.000.000;2018;58.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$29.500.000;2016;100.393;Blanco;Gasolina
Chevrolet Sail ls Ls;$32.000.000;2014;40.000;Blanco;Gasolina
Chevrolet Sail Hb 1.4;$28.000.000;2015;90.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$29.500.000;2015;123.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$25.500.000;2013;93.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt;$28.000.000;2014;36.800;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$24.000.000;2013;135.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$35.500.000;2018;43.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$26.500.000;2016;90.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$23.000.000;2014;181.100;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2015;96.900;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.700.000;2014;65.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$27.000.000;2015;70.700;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$41.000.000;2020;21.000;Plateado;Gasolina
Chevrolet Sail 1.4 Lt;$29.000.000;2016;71.000;Plateado;Gasolina
Chevrolet Sail 1.4 Lt;$31.500.000;2019;36.000;Negro;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$28.500.000;2014;85.200;Azul;Gasolina
Chevrolet Sail 1.4l;$31.500.000;2016;102.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$27.500.000;2015;120.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$31.000.000;2017;89.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz;$37.000.000;2018;55.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$33.000.000;2018;83.500;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$30.000.000;2015;81.069;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$25.000.000;2013;101.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2014;117.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$32.000.000;2016;34.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2015;78.000;Blanco;Gasolina
Chevrolet Sail 1.4 Lt;$29.000.000;2016;87.300;Rojo;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$38.000.000;2020;49.106;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$32.000.000;2018;104.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$33.500.000;2017;67.000;Color not found;Gasolina
Chevrolet Sail Sail;$29.000.000;2014;81.097;Color not found;Gasolina y gas
Chevrolet Sail 1.4 Ls;$39.000.000;2020;32.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$25.000.000;2013;130.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$31.000.000;2016;77.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$31.000.000;2016;127.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$26.999.000;2016;11.600;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 4 p;$28.500.000;2014;128.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$30.000.000;2016;57.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$38.000.000;2018;86.100;Plateado;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$29.000.000;2017;88.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$33.000.000;2019;35.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$22.000.000;2013;98.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.500.000;2017;75.071;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$32.500.000;2017;126.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$27.000.000;2016;82.000;Negro;Gasolina
Chevrolet Sail 1.4 Lt;$30.000.000;2019;247.628;Gris;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$26.000.000;2013;89.350;Negro;Gasolina
Chevrolet Sail 1.4 Ltz;$30.000.000;2015;110;Gris;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$31.500.000;2016;89.000;Negro;Gasolina
Chevrolet Sail 1.4 Ls;$27.000.000;2013;88.000;Rojo;Gasolina
Chevrolet Sail 1.4 Lt;$31.900.000;2015;111.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$35.000.000;2022;148.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ltz;$38.400.000;2017;47.000;Azul;Gasolina
Chevrolet Sail 1.4 Ltz 4 p;$29.000.000;2014;97.000;Plateado;Gasolina
Chevrolet Sail 1.4l Mecánica;$37.500.000;2018;40;Blanco;Gasolina
Chevrolet Sail 1.4 Lt;$27.500.000;2016;133.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$26.900.000;2015;88.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$33.000.000;2018;100.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$32.500.000;2017;250.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$27.500.000;2014;108.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$27.500.000;2014;158.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2018;89.000;Color not found;Gasolina
